#mpa_vJan25_CHOCOPhlAnSGB_202503
clade_name	SubG1_G_V_DBT_S267_L001	SubG1_G_V_PF_1_S264_L001	SubG1_S_V_DBT_S261_L001	SubG1_S_V_PF_1_S258_L001	SubG2_G_V_DBT_S268_L001	SubG2_G_V_PF_1_S265_L001	SubG2_S_V_DBT_S262_L001	SubG2_S_V_PF_1_S259_L001	SubG3_G_V_DBT_S269_L001	SubG3_G_V_PF_1_S266_L001	SubG3_S_V_DBT_S263_L001	SubG3_S_V_PF_1_S260_L001
k__Bacteria|p__Bacteroidota|c__Bacteroidota_unclassified	75644.0	96559.0	0.0	367.0	38920.0	52561.0	3278.0	1731.0	34474.0	38629.0	7470.0	7763.0
k__Bacteria|p__Bacteroidota|c__CFGB570	86377.0	118083.0	11397.0	10101.0	0.0	0.0	7231.0	4812.0	20337.0	22181.0	15021.0	13090.0
k__Bacteria|p__Spirochaetota|c__CFGB1021	79325.0	111326.0	1509.0	1856.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Gracilibacteria|c__Candidatus_Gracilibacteria_unclassified	29583.0	40332.0	0.0	707.0	35066.0	52326.0	2833.0	0.0	69035.0	70046.0	761.0	2874.0
k__Bacteria|p__Firmicutes|c__CFGB1781	11350.0	11832.0	15729.0	16044.0	2894.0	4124.0	7516.0	6433.0	1050.0	583.0	250.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB12783	11515.0	14195.0	0.0	23.0	0.0	0.0	0.0	0.0	104.0	178.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	15661.0	22024.0	5729.0	7786.0	138.0	501.0	0.0	0.0	3445.0	3240.0	11840.0	8739.0
k__Bacteria|p__Bacteroidota|c__CFGB496	15653.0	17807.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1394	8044.0	11874.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Pseudomonadota|c__CFGB73473	9618.0	11572.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1765	5588.0	7767.0	0.0	0.0	0.0	0.0	0.0	0.0	1475.0	1938.0	10230.0	8465.0
k__Bacteria|p__Synergistota|c__Synergistia	6178.0	13335.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1261	3189.0	5836.0	0.0	0.0	0.0	0.0	0.0	0.0	1113.0	1722.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB89717	822.0	1969.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia	360.0	3880.0	0.0	0.0	38344.0	64451.0	2093.0	487.0	0.0	0.0	1781.0	0.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB47462	322.0	786.0	10179.0	9768.0	0.0	0.0	0.0	0.0	0.0	0.0	346.0	393.0
k__Bacteria|p__Firmicutes|c__CFGB14224	446.0	660.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	4215426.0	5587190.0	1749706.0	1734167.0	3314125.0	4255071.0	2793318.0	2379443.0	1972017.0	2052846.0	2678111.0	2230512.0
k__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales	1269798.0	1728960.0	338539.0	360536.0	1440606.0	1838345.0	437201.0	420313.0	814732.0	801094.0	310199.0	246205.0
k__Bacteria|p__Pseudomonadota|c__Betaproteobacteria|o__Neisseriales	1241066.0	1713970.0	1283504.0	1375906.0	4565876.0	5912601.0	6388220.0	5245885.0	1522196.0	1635973.0	1348691.0	1195927.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales	1091367.0	1722202.0	24173.0	33097.0	1936506.0	2945737.0	3414.0	3507.0	1390333.0	1781081.0	6257.0	6934.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	726940.0	1047057.0	69531.0	70912.0	1271108.0	1916261.0	262581.0	227627.0	495448.0	508291.0	184856.0	204471.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Actinomycetales	1127611.0	1890164.0	20764.0	28723.0	2385754.0	3883096.0	18591.0	17276.0	1216608.0	1628764.0	127377.0	114067.0
k__Bacteria|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales	890769.0	1268374.0	72717.0	91383.0	3228723.0	4356217.0	1138888.0	959282.0	948361.0	1066838.0	337179.0	290572.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Micrococcales	560248.0	899972.0	162269.0	166734.0	782677.0	1204106.0	400326.0	228324.0	299284.0	369177.0	83728.0	53303.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	263665.0	344385.0	22827.0	14263.0	376586.0	490940.0	7789.0	6081.0	188395.0	197983.0	30194.0	33452.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Pasteurellales	380627.0	525652.0	247278.0	291038.0	1163933.0	1416190.0	1387942.0	1193285.0	290862.0	294290.0	339060.0	295282.0
k__Bacteria|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales	481786.0	697103.0	19434.0	21901.0	18554.0	18710.0	10799.0	8996.0	96930.0	110091.0	39106.0	33784.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	265215.0	376541.0	0.0	0.0	97478.0	120503.0	3774.0	4342.0	104044.0	109088.0	29056.0	24948.0
k__Bacteria|p__Actinomycetota|c__Actinomycetes|o__Propionibacteriales	411999.0	649970.0	188.0	332.0	1412018.0	2224423.0	14512.0	10985.0	638229.0	797709.0	2237.0	1710.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	201765.0	262153.0	94706.0	120669.0	674341.0	820556.0	184766.0	169815.0	274608.0	253262.0	464788.0	384923.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Lachnospirales	285158.0	409566.0	26612.0	21236.0	425958.0	583525.0	17505.0	13837.0	121921.0	151267.0	32148.0	17830.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB4355|o__OFGB4355	113863.0	157490.0	3373.0	3510.0	320019.0	453498.0	1901.0	2137.0	29853.0	37347.0	1944.0	601.0
k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Cardiobacteriales	228377.0	340610.0	2274.0	2960.0	434340.0	602091.0	7283.0	6227.0	261199.0	318756.0	1898.0	986.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	139600.0	195389.0	70892.0	77415.0	94385.0	146150.0	111373.0	107712.0	89111.0	106513.0	50755.0	51259.0
k__Bacteria|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales	161919.0	221988.0	27010.0	31003.0	230632.0	328183.0	83052.0	62305.0	111153.0	125594.0	45993.0	39043.0
k__Bacteria|p__Spirochaetota|c__CFGB1017|o__OFGB1017	169195.0	231593.0	24239.0	23822.0	0.0	0.0	0.0	0.0	23707.0	31369.0	24701.0	20673.0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales	61333.0	85072.0	12251.0	12591.0	78981.0	103959.0	10751.0	8961.0	29143.0	27094.0	16573.0	13532.0
