clade_name,SubG1-S-V-PF-1_R1_001.fasta.gz,SubG2-S-V-PF-1_R1_001.fasta.gz,SubG3-S-V-PF-1_R1_001.fasta.gz,SubG1-S-V-DBT_R1_001.fasta.gz,SubG2-S-V-DBT_R1_001.fasta.gz,SubG3-S-V-DBT_R1_001.fasta.gz,SubG1-G-V-PF-1_R1_001.fasta.gz,SubG2-G-V-PF-1_R1_001.fasta.gz,SubG3-G-V-PF-1_R1_001.fasta.gz,SubG1-G-V-DBT_R1_001.fasta.gz,SubG2-G-V-DBT_R1_001.fasta.gz,SubG3-G-V-DBT_R1_001.fasta.gz
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_johnsonii,0,0,0,0,1955.972794,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis,0,0,0,0,1206.000079,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_naeslundii,0,0,4953.580828,0,7193.419607,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,0,397.730603,0,180.446033,7381.599574,0,0,238.663216,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_oris,0,0,0,0,7197.540336,0,3187.478956,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_radicidentis,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HMSC035G02,0,0,0,0,2502.656201,0,329.317198,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_HPA0247,0,0,0,0,2333.706304,0,0,0,0,0,148.779603,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47,0,1915.779635,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_170,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_180,0,0,0,0,0,0,0,0,0,0,0,0
